,term,entity_id,text_1,text_2,text_3,text_4,text_5
311,gehandicapten,Q47189385,Vormingsinstituut voor Begeleiding van Gehandicapten,,['organisatie uit België'],['organisatie'],[]
312,gehandicapten,Q18089065,Partij Voor Gehandicapten en Welzijn,,['politieke partij uit België'],['politieke partij'],[]
313,gehandicapten,Q2425737,Algemene Nederlandse Gehandicapten Organisatie,,['Nederlandse organisatie'],['organisatie'],[]
314,gehandicapten,Q688498,hulpmiddel voor gehandicapten,,,[],['apparaat']
315,gehandicapten,Q2369561,Jongerenorganisatie voor gehandicapten,,,[],['jongerenorganisatie']
316,gekleurd,Q1836236,Kleur op doek. Hoe exotische weefsels worden gekleurd,,,['tijdelijke tentoonstelling'],[]
317,gekleurd,Q506,bloem,['blom'],vaak fraai gekleurd voortplantingsorgaan van bedektzadige planten,[],"['plantenorgaan', 'plantonderdeel']"
318,gekleurd,Q20002491,,,gebruik van gekleurd object in voorts monochrome afbeelding,['filmtechniek'],[]
319,gekleurd,Q1127759,denkfout,"['cognitieve fout', 'redeneerfout']",'Gekleurd' denken of waarnemen,['type bias'],"['vooroordeel', 'psychologisch fenomeen']"
320,gekleurd,Q1473346,gebrandschilderd raam,['glas-in-lood'],raam samengesteld uit stukken gekleurd glas,"['kunstmateriaal', 'materiaal']",['kunstwerk']
321,gekleurd,Q22987553,Brussels Gekleurd,,,['organisatie'],[]
322,gekleurd,Q221163,uraniumglas,['Anna-groen'],Glas gekleurd met uraniumerts,[],['glas']
323,gekleurd,Q86914958,,,"ets door James Ensor (gekleurd), PK.MP.04958, staat: IV",['ets'],[]
324,gekleurd,Q47458599,vzw Brussels Gekleurd/Bruxellles en Couleurs asbl,,,['vereniging zonder winstoogmerk'],[]
325,gekleurde,Q2072081,gekleurde,,['persoon die niet blank/wit is'],['sociale groep'],['mens']
326,gekleurde,Q739550,M&M's,"['Bonitos', 'Treets', 'M&M']",snoepjes van Amerikaanse oorsprong van chocolade met een gekleurde buitenlaag,['voedingsmerk'],[]
327,gekleurde,Q8230758,gekleurde contactlens,,,[],['contactlens']
328,gekleurde,Q4854529,gekleurde ruis,['bruine ruis'],,['classificatiesysteem'],[]
329,gekleurde,Q61944902,"Moeder Gods Kazanskaja, met koperen oklad en textiel met gekleurde glasstenen",,['schilderij van onbekend'],['schilderij'],[]
330,gekleurde,Q6544309,Liesegang banden,,gekleurde banden van cement in sedimentair gesteente,[],[]
331,gekleurde,Q133067,mozaïek,"['mozaiek', 'vloermozaïek', 'vloermozaiek']",een grote afbeelding wordt vervaardigd uit een groot aantal kleine gekleurde steentjes,[],"['tweedimensionaal visueel kunstwerk', 'assemblage', 'materiaal', 'architecturaal element']"
332,gekleurde,Q22245963,Vrouw met gekleurde hond,,['schilderij van Yvan Theys'],['schilderij'],[]
333,gekleurde,Q29910751,Man opgetild door hand en meisje in gekleurde jurk,,['tekening van Co Westerik'],['tekening'],[]
334,gekleurde,Q14290457,schaakpatroon,"['ruitpatroon', 'geruit patroon', 'schaakbordpatroon', 'dambordpatroon']",patroon van om en om gekleurde vlakken,[],['geometrisch patroon']
335,halfbloed,Q18336298,De halfbloed,,['korte stomme film uit Verenigde Staten van Amerika'],['korte film'],[]
336,halfbloed,Q862524,Harry Potter en de Halfbloed Prins,['Harry Potter en de half bloed prins'],['computerspel'],['computerspel'],[]
337,halfbloed,Q63348154,Halfbloed,,['film van Norman Dawn'],['stomme film'],[]
338,halfbloed,Q46887,Harry Potter en de Halfbloed Prins,"['Harry Potter and the Half-Blood Prince', 'Harry Potter en de Halfbloed Prins (boek)']",['boek van Joanne Rowling'],['literair werk'],[]
340,handicap,Q12131,handicap,,"['een lichamelijke, intellectuele of psychische beperking']",[],['eigenschap']
341,handicap,Q183560,Verstandelijke beperking,"['Zwakzinnigheid', 'Verstandelijk gehandicapte', 'Retardatie', 'mentale handicap', 'verstandelijke handicap', 'verstandelijk gehandicapt', 'zwakzinnig', 'idioot', 'mentale retardatie']",['ontwikkelingsstoornis in de verstandelijke vermogens'],['klasse van een ziekte'],"['specifieke ontwikkelingsstoornis', 'handicap']"
343,handicap,Q13635220,Buitengewoon onderwijs,['BUO'],"in Vlaanderen voor kinderen die het gewone onderwijs niet kunnen volgen vanwege leer- of gedragsproblemen of vanwege een lichamelijke, zintuiglijke of verstandelijke handicap",[],['orthopedagogiek']
344,handicap,Q1179623,lichamelijke handicap,,,['aandoening'],['handicap']
345,handicap,Q264231,dorpsgek,,persoon die plaatselijk bekend staat om excentriciteit of een mentale handicap,"['archetypisch personage', 'sociale rol', 'personage uit literatuur']",['idioot']
346,handicap,Q1818174,Wet gelijke behandeling op grond van handicap of chronische ziekte,,['wet'],['wet'],[]
347,handicap,Q114572905,parastronaut,,astronaut met een lichamelijke handicap,['beroep'],['ruimtevaarder']
348,handicap,Q29584861,Instellingen met huisvesting voor ouderen en voor personen met een lichamelijke handicap,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening met huisvesting']
349,handicap,Q29584860,Instellingen met huisvesting voor personen met een mentale handicap of psychiatrische problemen en voor drugs- en alcoholverslaafden,,['economische activiteit'],['economische activiteit'],['Maatschappelijke dienstverlening met huisvesting']
350,handicap,Q42255152,Wikidata-eigenschap gerelateerd aan handicap,,,['type Wikidata-eigenschap'],['Wikidata-eigenschap gerelateerd aan persoonlijk leven']
351,handicaps,Q104643388,Ernstig meervoudig beperkt,,combinatie van verschillende handicaps,['handicap'],[]
352,handicaps,Q3233152,Les Handicaps de la vie,,['boek van Rudyard Kipling'],['verhalenbundel'],[]
353,hermafrodiet,Q303479,hermafrodiet,,['het bezit van zowel mannelijke als vrouwelijke voortplantingsorganen'],['sekse'],"['organisme', 'intersekse']"
354,hermafrodiet,Q16674976,tweeslachtigheid,"['hermafroditisme', 'hermafrodiet']",,['voortplantingssysteem'],['geslachtelijke voortplanting']
355,hermafrodiet,Q28097260,Hermafrodiet,,['schilderij van R.L.J. Henkes'],['schilderij'],[]
356,hermafrodiet,Q22257088,"Werkkledij van de belgische hermafrodiet, maar niet te fanatiek",,['schilderij van Pjeroo Roobjee'],['schilderij'],[]
357,hermafrodiet,Q24063809,Hermafrodiet,,['schilderij van Laurens van Kuik'],['schilderij'],[]
358,homo,Q104969456,homoseksuele man,"['homoseksueel', 'homo', 'gay']",['mannen die zich aangetrokken voelen tot andere mannen'],['seksuele geaardheid'],['mannelijke mens']
359,homo,Q131464,Rhodesiëmens,"['Rhodesië man', 'Rhodesie man', 'Homo rhodesiensis', 'Rhodesiemens']",['soort uit het geslacht Homo'],['fossiel taxon'],[]
361,homo,Q3786468,Homo magi,,['personage'],['klasse van fictieve entiteiten'],['fictief mens']
